Date,Open,High,Low,Close,Volume
2014-06-02,33.1644,33.4711,32.8408,32.9497,2107393.3163578
2014-06-03,32.8308,33.0955,32.7419,33.0855,1655900.494903
2014-06-04,33.0456,33.2344,32.8908,33.0755,1944330.8265624
2014-06-05,33.1644,33.9325,33.1155,33.9036,2259164.0305763
2014-06-06,33.9815,34.3881,33.8447,34.0993,1271252.3018275
2014-06-09,34.0714,34.9105,34.0714,34.8815,2475728.0522985
2014-06-10,34.7637,34.7737,34.0894,34.1993,1377170.1378481
2014-06-11,34.0615,34.1193,33.7757,33.9515,1387002.2619673
2014-06-12,33.8846,33.9415,33.2943,33.3412,1200090.7893019
2014-06-13,33.3412,33.4811,32.9886,33.4211,1210300.340444
2014-06-16,33.4012,33.52,33.1744,33.2943,1121975.4091323
2014-06-17,33.2044,33.6769,33.0955,33.4611,1138825.4733873
2014-06-18,33.4511,33.54,33.0276,33.4911,1256963.1349857
2014-06-19,33.7058,34.1393,33.5011,34.0415,1706973.278931
2014-06-20,34.0215,34.2881,33.9515,34.2781,1520059.8040002
2014-06-23,34.2582,34.6237,34.0315,34.1193,1415884.9399876
2014-06-24,34.0015,34.0894,33.4811,33.54,1142293.3970152
2014-06-25,33.4111,33.8747,33.3113,33.8347,1319445.8282476
2014-06-26,33.8647,33.9325,33.5101,33.8747,1075991.3825524
2014-06-27,33.7947,34.2781,33.7458,34.2582,1222637.2985461
2014-06-30,34.2482,34.2482,33.9515,34.0804,1673580.4981557
2014-07-01,34.2193,34.9005,34.0894,34.6038,1866836.1486587
2014-07-02,34.5939,34.9694,34.5449,34.8515,1482473.278399
2014-07-03,34.9793,35.1182,34.8515,34.9594,661128.00385004
2014-07-07,34.8615,34.9105,34.3581,34.5449,1409909.1789789
2014-07-08,34.4261,34.6537,34.2781,34.6038,1521856.8371735
2014-07-09,34.6637,34.7537,34.4359,34.5549,881909.79758252
2014-07-10,34.1093,34.3881,33.9325,34.1693,1005650.7988301
2014-07-11,34.1393,34.3381,33.8047,34.3281,834749.44009537
2014-07-14,34.5939,34.5939,34.3881,34.4559,1076800.2977634
