Date,Open,High,Low,Close,Volume
2014-06-02,8.41,8.4475,8.12,8.31,1791564
2014-06-03,8.195,8.2925,8.035,8.145,2321812
2014-06-04,8.44,8.7275,8.3125,8.72,4576896
2014-06-05,8.885,9.12,8.875,9.0325,3561712
2014-06-06,9.15,9.1825,9.01,9.18,2652560
2014-06-09,9.1375,9.37,9.0925,9.345,3355660
2014-06-10,9.295,9.38,9.1275,9.27,2650000
2014-06-11,9.21,9.23875,8.9775,9.0575,1812736
2014-06-12,9.0325,9.1225,8.865,9.0025,2222372
2014-06-13,9.0475,9.2645,8.8225,9,2072304
2014-06-16,9.0375,9.4675,9.0095,9.4575,3269980
2014-06-17,9.4875,9.995,9.311,9.80375,5280932
2014-06-18,9.7725,9.9775,9.7575,9.9725,3181916
2014-06-19,9.98,10.005,9.8325,9.9975,2078124
2014-06-20,9.9175,10.265,9.9175,10.25,4091436
2014-06-23,10.2425,10.3875,10.1312,10.2275,3153596
2014-06-24,10.1525,10.3975,10.1475,10.185,2574100
2014-06-25,10.1225,10.245,10.05,10.2025,2078252
2014-06-26,10.22,10.245,10.0375,10.1,2238516
2014-06-27,10.0425,10.0625,9.835,9.9125,4065784
2014-06-30,9.875,10.0525,9.8575,9.915,3608780
2014-07-01,9.9825,10.02,9.8425,9.92,5667596
2014-07-02,9.9275,10.1275,9.875,9.9325,2203600
2014-07-03,10,10.025,9.8375,9.9575,943564
2014-07-07,9.92,9.92,9.46,9.4825,2776564
2014-07-08,9.435,9.455,8.81,8.8375,4787376
2014-07-09,8.845,9.075,8.845,9.0425,2356512
2014-07-10,8.73,9.0975,8.6675,8.9825,1694000
2014-07-11,8.9525,9.185,8.9,9.1525,2134632
2014-07-14,9.2725,9.2925,9.0675,9.25,1813108
2014-07-15,9.27,9.3575,9.0715,9.1025,2240788
2014-07-16,9.1625,9.205,9.0025,9.1325,1993540
2014-07-17,9.035,9.2125,8.9275,8.97,2844352
2014-07-18,8.93,9.2,8.875,9.18,2256576
2014-07-21,9.1125,9.32,9.03,9.2375,1732320
2014-07-22,9.3025,9.595,9.2375,9.4575,1941288
2014-07-23,9.475,9.6425,9.47,9.625,2222312
2014-07-24,9.605,9.695,9.5125,9.6075,2228124
2014-07-25,9.5075,9.8225,9.465,9.7625,3052444
2014-07-28,9.8,9.86,9.525,9.8275,2861472
2014-07-29,9.8275,10.095,9.75,9.97,3173160
2014-07-30,10.05,10.235,9.9025,10.0275,3106132
2014-07-31,9.855,9.89,9.415,9.42,2974384
2014-08-01,9.43,9.5425,9.1325,9.3075,3276908
2014-08-04,9.37,9.645,9.2975,9.605,2464080
2014-08-05,9.565,9.8725,9.487,9.775,2255964
2014-08-06,9.6525,9.875,9.5375,9.5525,3554244
2014-08-07,10.06,10.995,9.955,10.8525,10363892
2014-08-08,10.8125,11.1075,10.755,11.0625,4191516
2014-08-11,11.1275,11.235,10.9425,10.9625,3607924
2014-08-12,10.9275,10.9825,10.695,10.7225,2854724
2014-08-13,10.785,11.0675,10.65,10.9725,2266712
2014-08-14,10.9175,11.11,10.84,10.9825,1949148
2014-08-15,11.0925,11.0925,10.7225,10.905,1804280
2014-08-18,10.975,11.105,10.875,11.1025,2311004
2014-08-19,11.0925,11.3625,11.0758,11.23,3301696
2014-08-20,11.16,11.2275,10.905,11.035,1711568
2014-08-21,11.05,11.0575,10.7438,10.885,2770060
2014-08-22,10.9025,11.2025,10.75,11.02,2747192
2014-08-25,11.195,11.195,10.885,10.9775,1456788
2014-08-26,10.9625,11.5925,10.9575,11.4725,3942180
2014-08-27,11.3975,11.53,11.2325,11.295,2653080
2014-08-28,11.2175,11.355,11.035,11.07,1793356
2014-08-29,11.005,11.2325,11.005,11.05,1323880
2014-09-02,11.1325,11.235,11.005,11.205,2079124
2014-09-03,11.155,11.1625,10.83,10.895,3867564
2014-09-04,10.885,10.9872,10.625,10.67,3244580
2014-09-05,10.6325,10.8025,10.48,10.7125,1715500
2014-09-08,10.67,10.8225,10.6475,10.7975,1723160
2014-09-09,10.8075,10.8825,10.585,10.625,2147552
2014-09-10,10.66,10.905,10.635,10.825,2689548
2014-09-11,10.72,10.9625,10.6325,10.9225,2425176
2014-09-12,10.89,11.0175,10.615,10.6275,3073512
2014-09-15,10.65,10.65,10.1405,10.2075,2907600
2014-09-16,10.2,10.37,10.0908,10.2675,2114920
2014-09-17,10.2575,10.45,10.2093,10.39,2326444
2014-09-18,10.47,10.655,10.3875,10.5625,1766472
2014-09-19,10.605,10.62,10.3675,10.445,2990204
2014-09-22,10.395,10.4125,9.975,10.1125,2366780
2014-09-23,10.045,10.1975,9.9775,10.085,3039780
2014-09-24,10.13,10.4075,10.03,10.345,1828828
2014-09-25,10.3325,10.3325,10.0875,10.1475,1821144
2014-09-26,10.1725,10.2975,10.1475,10.25,1117468
2014-09-29,10.125,10.4175,10.03,10.3475,1560296
2014-09-30,10.305,10.3575,9.995,9.9975,2314596
2014-10-01,9.945,9.96,9.7,9.77,2863664
2014-10-02,9.765,10.255,9.6925,10.1625,2065712
2014-10-03,10.3125,10.7325,10.295,10.6475,2733752
2014-10-06,10.705,10.7475,10.31,10.3125,2096732
2014-10-07,10.1575,10.285,10.065,10.0925,1832984
2014-10-08,10.085,10.5125,10,10.4825,1957176
2014-10-09,10.4725,10.63,10.1625,10.1675,1640320
2014-10-10,10.1,10.51,10.0725,10.125,2063028
2014-10-13,10.155,10.43,9.9125,10.13,2612780
2014-10-14,10.1375,10.42,10.1375,10.2475,1965560
2014-10-15,10.0825,10.4825,9.7275,10.3725,3199368
2014-10-16,10.2125,10.605,10.15,10.345,2405048
2014-10-17,10.505,10.505,10.16,10.165,1782348
2014-10-20,10.1375,10.5475,10.0975,10.5,2151004
2014-10-21,10.72,11.035,10.6225,11.02,2176380
2014-10-22,11.0375,11.145,10.53,10.71,2648232
2014-10-23,10.8325,11.1325,10.7075,11.02,1996636
2014-10-24,11.055,11.1325,10.7875,10.8275,2392616
2014-10-27,10.8275,10.8275,10.6425,10.775,2033680
2014-10-28,10.8125,11.1325,10.795,11.04,3990904
2014-10-29,11.0675,11.215,11.0363,11.125,2235400
2014-10-30,11.0975,11.375,10.9875,11.1925,2620472
2014-10-31,11.5,11.56,11.23,11.2375,2357884
2014-11-03,11.2875,11.2875,10.9625,10.99,2493424
2014-11-04,11.0725,11.35,11.025,11.12,3153864
2014-11-05,11.25,11.2925,10.9725,11,1912032
2014-11-06,10.865,11.1925,10.8625,11.1575,4689892
2014-11-07,11.6975,13.02,11.6525,12.7325,9634424
2014-11-10,12.6975,13.375,12.5175,13.375,4991808
2014-11-11,13.27,13.5,13.125,13.285,3383972
2014-11-12,13.175,13.5425,13.1625,13.5025,2376216
2014-11-13,13.375,13.625,13.34,13.4075,1895868
2014-11-14,13.35,13.405,13.0625,13.1825,2088632
2014-11-17,13.195,13.27,12.9175,12.935,2073276
2014-11-18,12.8925,13.15,12.87,12.8975,2701352
2014-11-19,12.89,12.9355,12.6075,12.62,2247412
